# INIT: I am agent 9
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# DAYSTART
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# DAYSTART
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# TALK
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# TALK
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# TALK
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# TALK
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# TALK
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# TALK
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# TALK
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# TALK
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# TALK
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# TALK
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# UPDATE
Hate Score: 0, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# VOTE: 1
# UPDATE
Hate Score: -10000, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# DAYSTART
# UPDATE
Hate Score: -10000, 0, 0, 0, 0, 0, 0, 0, -10000, 0
# TALK
# UPDATE
Talking about me: VOTE Agent[09]
Hate Score: -10000, 0, 0, 0, 0, 0, 10, 0, -10000, 0
# TALK
# UPDATE
Talking about me: REQUEST ANY (VOTE Agent[09])
Hate Score: -10000, 0, 0, 0, 0, 0, 20, 0, -10000, 0
# TALK
# UPDATE
Hate Score: -10000, 0, 0, 0, 0, 0, 20, 0, -10000, 0
# TALK
# UPDATE
Hate Score: -10000, 0, 0, 0, 0, 0, 20, 0, -10000, 0
# TALK
# UPDATE
Hate Score: -10000, 0, 0, 0, 0, 0, 20, 0, -10000, 0
# TALK
# UPDATE
Hate Score: -10000, 0, 0, 0, 0, 0, 20, 0, -10000, 0
# TALK
# UPDATE
Hate Score: -10000, 0, 0, 0, 0, 0, 20, 0, -10000, 0
# TALK
# UPDATE
Hate Score: -10000, 0, 0, 0, 0, 0, 20, 0, -10000, 0
# TALK
# UPDATE
Hate Score: -10000, 0, 0, 0, 0, 0, 20, 0, -10000, 0
# TALK
# UPDATE
